arg1,arg2,word,sentence,verb_idx,label
продолжительный,,агония,10 марта совет приказал во всех церквах молиться за здоровье г Кальвина находящегося в смертельной опасности Эта продолжительная агония продолжалась почти 4 месяца Кальвин сносил свои страдания без жалоб и даже в минуты сравнительного облегчения продолжал работать отвечая на все увещевания друзей моливших его беречь себя для блага церкви Разве вы хотите чтобы Бог когда пошлет за мной не застал меня за работой ,2 ,1
продолжительный,,агония,12 трехочковых бросков Партизана из 20 попыток достигли цели а 7 из них принадлежали золотой руке Щепановича Конец агонии Урал-Грейта был положен югами в первые минуты заключительной четверти Ще панович дважды Вуянич дважды и Глинтич забросили пять трехочковых подряд 85 99 ,2 ,1
продолжительный,,агония,19 апреля 1824 года в возрасте 36 лет и 3 месяцев лорд Байрон скончался от злокачественной лихорадки подхваченной на болотах в Миссолунги Агония Байрона была мучительной Уже умирая он якобы сказал Думаете я дорожу жизнью ,1 ,0
продолжительный,,агония,1 Дескать терроризм это признак внутренней истерии упадка агонии революции последний рык умирающего льва сразу почему-то приходит в голову бьющийся в ,1 ,0
продолжительный,великий,агония,1 час 15 мин пополудни У папы началась агония Великий пенитенциарий Ванутелли вошел в комнату папы чтобы соборовать его ,1 ,0
продолжительный,,агония,21.30 Фестиваль искусств СССР Белые ночи Гурков Г Агония 30 ЛЕТ назад в ночь на 22 июня 1941 года гитлеровский вермахт перешел границу Советского Союза ,1 ,0
продолжительный,,агония,2 а в конце концов воплотилась в веке в классической версии теории цивилизаций А Тойнби идентифицировавшего универсальные государства т е мировые империи с поздним закатным этапом развития цивилизации нетворческим и эфемерным когда она в сущности находится в состоянии агонии Тойнби 1991 с 487 Однако в отличие от этого классического подхода в концепции культурно-исторических типов Данилевского государство занимает центральное место ,2 ,1
продолжительный,,агония,2 Агония и смерть Адольфа Гитлера М 2000 Марковчин В В Фельдмаршал Паулюс от Гитлера к Сталину ,1 ,0
продолжительный,,агония,2 Во время агонии третьего рейха нацистская верхушка решила расправиться с ,2 ,1
продолжительный,донский,агония,2 й офицерский батальон по просьбе Каледина был послан на Новочеркасское направление где в виду отказа казаков от борьбы создавалось трагическое положение Началась агония донского фронта Полковник Кутепов выступил из Таганрога и усиленный частями Георпевского полка и донского партизанского отряда Семилетова дважды разбил отряд Сиверса у Матвеева Кургана ,2 ,1
